unit,sex,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
NR,F,TOTAL,AD	: 	: 	: 	: 	37408 	38252 	38252 	40296 	40303 	39622 	38705 	37575 	36790 	34738 	32354 	31915 	31576 	31538 	31384 	31025 	30627 	30200 	30228 	30406 	28864 	27572 	25542 	24171 	23813 	22814 	22148 	20898 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,AL	1423050 	1417141 	1424597 	1430827 	1437193 	1444234 	1451691 	1459025 	1468935 	1480358 	1492439 	1503969 	1512745 	1520481 	1526180 	1532563 	1535822 	1526762 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,AM	1567380 	1569535 	1571450 	: 	: 	1684000 	1679066 	1673656 	1669711 	1667529 	1665554 	1665123 	1665200 	1665500 	1666700 	1670500 	1672200 	1681200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,AT	4460424 	4427918 	4384529 	4352447 	4328238 	4309977 	4296293 	4285442 	4278068 	4265500 	4252922 	4239954 	4216493 	4189973 	4170674 	4156906 	4139842 	4133855 	4126432 	4122811 	4120947 	4116117 	4112289 	4107857 	4089274 	4052348 	4014682 	3989903 	3971179 	3967609 	3970653 	3972356 	3975117 	3976213 	3981596 	3993808 	3983154 	3981359 	3985363 	3994255 	3992437 	3992886 	4003303 	4006377 	3990665 	3972070 	3953827 	3944298 	3932691 	3922359 	3899799 	3876559 	3857760 	3836415 	3814191 	3794130 	3773097 	3757167 
NR,F,TOTAL,AZ	4918771 	4870002 	4817181 	4763571 	4707690 	4651601 	4594023 	4542083 	4538600 	4371800 	4327700 	4284200 	4243600 	4207200 	4179500 	4152600 	4126500 	4097900 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,BA	: 	: 	: 	: 	: 	1963655 	1965701 	1966011 	1965986 	1960361 	1960449 	1959752 	1959692 e	1957082 e	1953478 e	1944715 e	1932756 e	1914073 e	: 	: 	1922585 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,BE	5762455 	5741853 	5713206 	5687048 	5665118 	5635601 b	5598920 b	5527684 	5484429 	5442557 	5403126 	5367561 	5334527 	5309245 	5288959 	5267437 	5245395 	5233071 	5220034 	5209592 	5198446 	5184262 	5175903 	5160407 	5144847 	5122765 	5106290 	5087683 	5078668 	5053913 	5048517 	5046712 	5046163 	5043503 	5044878 	5042116 	5041979 	5036166 	5027912 	5023356 	5014837 	5007918 	4996106 	4982187 	4966920 	4950716 	4929078 	4930511 	4914120 	4897385 	4868944 	4837409 	4800240 	4757001 	4721909 	4692881 	4680332 	4650891 
NR,F,TOTAL,BG	3651881 	3676607 	3700183 	3720732 	3739479 	3760457 	3780505 	3807808 	3831264 	3857635 	3886094 	3914757 	3944453 	3973019 	4003292 	4035676 	4182045 	4199715 	4216300 	4238235 	4263435 	4281347 	4297452 	4308125 	4315730 	4366016 	4399271 	4443535 	4547303 	4538312 	4529072 	4516402 	4514813 	4500629 	4486480 	4471841 	4454938 	4437268 	4414767 	4420915 	4400441 	4371919 	4360061 	4327798 	4300053 	4280930 	4258313 	4232840 	4201969 	4167280 	4142041 	4114958 	4092536 	4059726 	4027480 	3995543 	3958593 	3921043 
NR,F,TOTAL,BY	5078185 	5077522 	5071671 	5066943 	5066314 	5066857 	5073034 	5063266 	5160289 	5168358 	5179429 	5195244 	5216991 	5238879 	5260849 	5284465 	5302718 	5316268 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,CH	4246113 	4205655 	4163786 	4117540 	4070536 	4032409 	3992708 b	3955240 	3915181 	3866480 	3829380 	3806626 	3786406 	3762609 	3738824 	3711304 	3684357 	3663736 	3644848 	3631222 	3623725 	3613512 	3590651 	3564707 	3534043 	3501103 	3460226 	3416313 	3391052 	3364945 	3343502 	3324453 	3310638 	3297473 	3288680 	3271087 	3253278 	3237338 	3227625 	3222954 	3224164 	3241162 	3256587 	3239574 	3217328 	3188388 	3167724 	3154705 	3123083 	3087845 	3049556 	3016742 	2990789 	2952274 	2899101 	2835874 	2762955 	2730400 
