dt_year,age,value_population,notes
2018,0,3848208,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,1,3912900,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,2,3991437,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,3,4036562,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,4,4021168,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,5,4010118,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,6,4015259,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,7,4059363,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,8,4055624,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,9,4055278,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,10,4184077,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,11,4203007,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,12,4168485,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,13,4156887,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,14,4167071,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,15,4141218,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,16,4130744,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,17,4241936,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,18,4319722,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,19,4263601,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,20,4273822,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,21,4292514,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,22,4334743,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,23,4438724,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,24,4533776,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,25,4606281,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,26,4728714,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,27,4813980,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,28,4801711,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,29,4611070,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,30,4501282,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,31,4421549,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,32,4433749,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,33,4461246,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,34,4318192,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,35,4376401,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,36,4366923,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,37,4313086,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,38,4391406,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,39,4115771,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,40,4031314,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,41,3986156,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,42,3866067,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,43,3979609,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,44,3851155,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,45,3904041,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,46,4074459,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,47,4301318,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,48,4349714,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,49,4117603,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,50,4026474,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,51,4025069,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,52,4094079,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,53,4333375,PEPSYASEXN_Population Estimate (as of July 1) - 2018
2018,54,4405567,PEPSYASEXN_Population Estimate (as of July 1) - 2018
